Name,Core Count,Performance Core Clock,Performance Core Boost Clock,TDP,Integrated Graphics,SMT,Rating,Price
Intel Core i9-10850K,10,3.6 GHz,5.2 GHz,125 W,Intel UHD Graphics 630,Yes,-58,$279.00 
Intel Core i5-11400,6,2.6 GHz,4.4 GHz,65 W,Intel UHD Graphics 730,Yes,-34,$126.25 
Intel Core i9-11900KF,8,3.5 GHz,5.3 GHz,125 W,None,Yes,-2,$232.00 
Intel Core i5-14400,10,2.5 GHz,4.7 GHz,65 W,Intel UHD Graphics 730,Yes,0,$229.98 
AMD Ryzen 7 2700,8,3.2 GHz,4.1 GHz,65 W,None,Yes,-71,$185.00 
Intel Core i7-11700F,8,2.5 GHz,4.9 GHz,65 W,None,Yes,-2,$249.50 
Intel Core i7-4770,4,3.4 GHz,3.9 GHz,84 W,Intel HD Graphics 4600,Yes,-43,$74.95 
AMD Ryzen 5 1600,6,3.2 GHz,3.6 GHz,65 W,None,Yes,-360,$256.07 
Intel Core i5-12500,6,3 GHz,4.6 GHz,65 W,Intel UHD Graphics 770,Yes,-3,$195.98 
Intel Core i5-10600KF,6,4.1 GHz,4.8 GHz,125 W,None,Yes,-8,$123.00 
Intel Core i7-6950X,10,3 GHz,3.5 GHz,140 W,None,Yes,0,$804.98 
Intel Core i5-11600K,6,3.9 GHz,4.9 GHz,125 W,Intel UHD Graphics 750,Yes,-34,$179.99 
Intel Core i5-6600K,4,3.5 GHz,3.9 GHz,91 W,Intel HD Graphics 530,No,-428,$130.00 
Intel Core i3-10100,4,3.6 GHz,4.3 GHz,65 W,Intel UHD Graphics 630,Yes,-38,$93.74 
Intel Core i7-3770,4,3.4 GHz,,77 W,Intel HD Graphics 4000,Yes,-50,$95.00 
AMD Ryzen 5 1600,6,3.2 GHz,3.6 GHz,65 W,None,Yes,-55,$120.00 
Intel Core i7-13700,16,2.1 GHz,5.2 GHz,65 W,Intel UHD Graphics 770,Yes,-3,$371.99 
Intel Xeon E5-2699 V4,22,2.2 GHz,3.6 GHz,145 W,None,Yes,-1,$245.00 
Intel Core i7-10700,8,2.9 GHz,4.8 GHz,65 W,Intel UHD Graphics 630,Yes,-30,$231.77 
Intel Core i5-8600K,6,3.6 GHz,4.3 GHz,95 W,Intel UHD Graphics 630,No,-143,$139.00 
Intel Core i3-10105F,4,3.7 GHz,4.4 GHz,65 W,None,Yes,-5,$80.47 
AMD Ryzen 3 2200G,4,3.5 GHz,3.7 GHz,65 W,Radeon Vega 8,No,-135,$130.00 
Intel Core i9-14900,24,2 GHz,5.8 GHz,65 W,Intel UHD Graphics 770,Yes,0,$554.99 
Intel Core i9-10900KF,10,3.7 GHz,5.3 GHz,125 W,None,Yes,-9,$255.00 
AMD Athlon 200GE,2,3.2 GHz,,35 W,Radeon Vega 3,Yes,-15,$69.98 
Intel Core i9-9900KF,8,3.6 GHz,5 GHz,95 W,None,Yes,-16,$286.74 
Intel Core i5-7500,4,3.4 GHz,3.8 GHz,65 W,Intel HD Graphics 630,No,-76,$88.99 
Intel Core i5-7400,4,3 GHz,3.5 GHz,65 W,Intel HD Graphics 630,No,-15,$86.79 
AMD Ryzen 9 3950X,16,3.5 GHz,4.7 GHz,105 W,None,Yes,0,"$2,147.03 "
Intel Core i7-9700,8,3 GHz,4.7 GHz,65 W,Intel HD Graphics 630,No,-2,$250.26 
Intel Core i9-14900F,24,2 GHz,5.8 GHz,65 W,None,Yes,0,$528.99 
AMD Ryzen 5 2400G,4,3.6 GHz,3.9 GHz,65 W,Radeon Vega 11,Yes,-80,$135.00 
Intel Core i7-9700F,8,3 GHz,4.7 GHz,65 W,None,No,-2,$279.00 
Intel Core i5-3470,4,3.2 GHz,,77 W,Intel HD Graphics 2500,No,-36,$59.00 
Intel Core i7-4790,4,3.6 GHz,4 GHz,84 W,Intel HD Graphics 4600,Yes,-2,$139.94 
AMD Ryzen 7 1700,8,3 GHz,3.7 GHz,65 W,None,Yes,-170,$195.00 
Intel Core i7-4770K,4,3.5 GHz,3.9 GHz,84 W,Intel HD Graphics 4600,Yes,-467,$135.00 
Intel Core i3-9100F,4,3.6 GHz,4.2 GHz,65 W,None,No,-27,$129.94 
Intel Core i7-10700KF,8,3.8 GHz,5.1 GHz,125 W,None,Yes,-6,$240.00 
Intel Core i7-11700KF,8,3.6 GHz,5 GHz,125 W,None,Yes,-3,$242.54 
Intel Core i7-3770K,4,3.5 GHz,,77 W,Intel HD Graphics 4000,Yes,-219,$175.00 
Intel Core i7-11700,8,2.5 GHz,4.9 GHz,65 W,Intel UHD Graphics 750,Yes,-10,$199.99 
